date,state_ut,district,disease,rainfall_mm,avg_temp_c,humidity_pct,daily_cases
2009-06-27,Andhra Pradesh,Nellore,Acute Diarrhoeal Disease,13.31,36.58,59.81,43.0
2009-06-27,Madhya Pradesh,Betul,Acute Diarrhoeal Disease,24.58,38.04,68.05,59.0
2009-06-27,Madhya Pradesh,Mandsaur,Acute Diarrhoeal Disease,7.6,42.72,52.52,156.0
2009-06-27,West Bengal,Nadia,Acute Diarrhoeal Disease,13.8,30.74,62.0,24.0
2009-06-28,Assam,Kamrup,Acute Diarrhoeal Disease,77.76,28.99,83.15,5.0
2009-06-28,Chhattisgarh,Bilaspur,Acute Diarrhoeal Disease,54.9,42.59,77.22,17.0
2009-06-28,Karnataka,Belgaum,Acute Diarrhoeal Disease,39.29,32.75,76.62,10.0
2009-06-28,Tamil Nadu,Krishnagiri,Chikungunya,17.11,35.81,63.3,5.0
2009-07-01,Karnataka,Davangere,Acute Diarrhoeal Disease,36.12,33.39,75.29,19.0
2009-07-01,Madhya Pradesh,Chhatarpur,Acute Diarrhoeal Disease,53.32,43.24,76.78,80.0
2009-07-01,Rajasthan,Udaipur,Acute Diarrhoeal Disease,6.1,40.32,51.74,39.0
2009-07-03,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,11.98,36.97,58.47,18.0
2009-07-03,Madhya Pradesh,Morena,Acute Diarrhoeal Disease,33.81,41.05,72.05,59.0
2009-07-03,Tamil Nadu,Thanjavur,Acute Diarrhoeal Disease,13.76,39.82,59.24,32.0
2009-07-04,Rajasthan,Banswara,Acute Diarrhoeal Disease,28.19,38.25,70.13,60.0
2009-07-04,Tamil Nadu,Salem,Acute Diarrhoeal Disease,71.44,37.85,80.2,12.0
2009-07-05,Gujarat,Bhavnagar,Acute Diarrhoeal Disease,23.08,40.46,66.34,1251.0
2009-07-05,Haryana,Palwal,Acute Diarrhoeal Disease,15.48,34.68,62.27,57.0
2009-07-05,Himachal Pradesh,Mandi,Acute Diarrhoeal Disease,32.42,27.94,75.36,53.0
2009-07-05,Punjab,Barnala,Acute Diarrhoeal Disease,42.11,33.18,77.37,408.0
2009-07-06,Karnataka,Bijapur,Acute Diarrhoeal Disease,15.13,38.45,60.84,74.0
2009-07-06,Karnataka,Koppal,Acute Diarrhoeal Disease,16.78,30.03,64.76,35.0
2009-07-06,Karnataka,Koppal,Acute Diarrhoeal Disease,16.78,30.03,64.76,42.0
2009-07-06,Madhya Pradesh,Dhar,Acute Diarrhoeal Disease,27.13,35.99,70.21,39.0
2009-07-06,Tamil Nadu,Cuddalore,Acute Diarrhoeal Disease,13.77,36.52,60.24,34.0
2009-07-06,Tamil Nadu,Thiruvannamalai,Acute Diarrhoeal Disease,26.64,42.91,67.85,36.0
2009-07-07,Daman and Diu,Daman and Diu,Acute Diarrhoeal Disease,5.0,22.97,60.8,33.0
2009-07-07,Tamil Nadu,Theni,Chikungunya,25.62,42.91,67.24,50.0
2009-07-07,Telangana,Adilabad,Acute Diarrhoeal Disease,66.35,30.03,82.21,25.0
2009-07-08,Uttarakhand,Almora,Acute Diarrhoeal Disease,21.38,25.51,69.65,24.0
2009-07-08,West Bengal,Hooghly,Cholera,66.81,30.19,82.19,44.0
2009-07-09,Gujarat,Bhavnagar,Acute Diarrhoeal Disease,13.48,30.18,61.88,24.0
2009-07-09,Odisha,Sundergarh,Acute Diarrhoeal Disease,143.97,30.03,83.48,76.0
2009-07-10,Assam,Dibrugarh,Cholera,102.65,10.0,89.35,2.0
2009-07-10,Rajasthan,Churu,Acute Diarrhoeal Disease,0.63,44.14,44.92,107.0
2009-07-11,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,22.58,35.69,67.43,50.0
2009-07-13,Karnataka,Chitradurga,Cholera,48.02,26.89,80.72,18.0
2009-07-14,Madhya Pradesh,Burhanpur,Acute Diarrhoeal Disease,103.77,30.03,83.35,18.0
2009-07-14,Madhya Pradesh,Sehore,Acute Diarrhoeal Disease,207.54,31.57,83.03,12.0
2009-07-15,Goa,South Goa,Chikungunya,300.0,19.51,86.65,30.0
2009-07-15,Karnataka,Belgaum,Acute Diarrhoeal Disease,191.05,30.03,83.49,28.0
2009-07-15,Rajasthan,Chittorgarh,Acute Diarrhoeal Disease,139.32,33.03,82.57,46.0
2009-07-15,Tamil Nadu,Salem,Chikungunya,24.67,25.49,71.88,24.0
2009-07-15,Tamil Nadu,Salem,Chikungunya,24.67,25.49,71.88,67.0
2009-07-15,Tamil Nadu,Theni,Chikungunya,6.41,41.0,51.84,10.0
2009-07-15,Telangana,Adilabad,Acute Diarrhoeal Disease,113.51,27.25,84.25,20.0
2009-07-16,Karnataka,Chitradurga,Acute Diarrhoeal Disease,33.32,26.89,76.08,23.0
2009-07-17,Madhya Pradesh,Gwalior,Acute Diarrhoeal Disease,91.84,30.03,83.21,87.0
2009-07-17,Madhya Pradesh,Shahdol,Acute Diarrhoeal Disease,142.41,27.57,84.22,15.0
2009-07-17,West Bengal,South 24 Parganas,Acute Diarrhoeal Disease,47.44,29.6,79.78,112.0
2009-07-18,Madhya Pradesh,Betul,Acute Diarrhoeal Disease,89.23,30.03,83.16,186.0
2009-07-18,Madhya Pradesh,Betul,Acute Diarrhoeal Disease,89.23,30.03,83.16,196.0
2009-07-18,Odisha,Khurda,Acute Diarrhoeal Disease,300.0,27.05,84.38,21.0
2009-07-18,Tamil Nadu,Virudhunagar,Acute Diarrhoeal Disease,32.5,41.12,71.45,20.0
2009-07-19,Jharkhand,Latehar,Malaria,65.46,26.26,83.27,22.0
2009-07-20,Punjab,Sangrur,Acute Diarrhoeal Disease,16.0,31.66,63.62,15.0
2009-07-21,Gujarat,Amreli,Acute Diarrhoeal Disease,266.06,30.03,83.49,58.0
2009-07-21,Karnataka,Davangere,Acute Diarrhoeal Disease,74.16,22.87,84.83,46.0
2009-07-21,Madhya Pradesh,Seoni,Acute Diarrhoeal Disease,117.36,32.95,82.55,60.0
2009-07-22,Karnataka,Belgaum,Acute Diarrhoeal Disease,126.1,22.54,85.7,86.0
2009-07-22,Telangana,Nizamabad,Acute Diarrhoeal Disease,85.28,29.12,83.35,23.0
2009-07-23,Karnataka,Bidar,Acute Diarrhoeal Disease,51.15,30.29,80.3,28.0
2009-07-23,Karnataka,Chikmagalur,Acute Diarrhoeal Disease,119.46,30.03,83.44,26.0
2009-07-23,Maharashtra,Akola,Acute Diarrhoeal Disease,214.75,30.03,83.49,45.0
2009-07-24,Madhya Pradesh,Jabalpur,Acute Diarrhoeal Disease,92.74,12.43,88.5,135.0
2009-07-24,Odisha,Bargarh,Acute Diarrhoeal Disease,300.0,27.83,84.15,76.0
2009-07-24,Rajasthan,Jaipur,Acute Diarrhoeal Disease,37.25,29.55,76.87,74.0
2009-07-24,Rajasthan,Jaisalmer,Acute Diarrhoeal Disease,20.66,40.6,64.6,26.0
2009-07-25,Jharkhand,Palamu,Malaria,55.93,27.66,81.84,21.0
2009-07-26,Madhya Pradesh,Khandwa,Acute Diarrhoeal Disease,245.83,28.01,84.1,25.0
2009-07-27,Madhya Pradesh,Burhanpur,Acute Diarrhoeal Disease,149.88,28.89,83.82,36.0
2009-07-27,Madhya Pradesh,Dhar,Acute Diarrhoeal Disease,267.33,24.55,85.13,31.0
2009-07-27,Madhya Pradesh,Umaria,Acute Diarrhoeal Disease,50.02,30.91,79.91,13.0
2009-07-27,Uttar Pradesh,Siddharth Nagar,Acute Diarrhoeal Disease,41.75,30.88,77.95,9.0
2009-07-28,Himachal Pradesh,Bilaspur,Acute Diarrhoeal Disease,228.68,23.19,85.54,14.0
2009-07-28,Karnataka,Dharwad,Acute Diarrhoeal Disease,28.91,28.59,73.42,31.0
2009-07-28,Kerala,Kozhikode,Chikungunya,41.91,30.03,78.25,41.0
2009-07-28,Kerala,Kozhikode,Chikungunya,41.91,30.03,78.25,41.0
2009-07-28,Madhya Pradesh,Dewas,Dengue,95.54,26.09,84.45,2.0
2009-07-28,Madhya Pradesh,Mandla,Acute Diarrhoeal Disease,28.83,29.19,73.2,111.0
2009-07-28,Madhya Pradesh,Sagar,Acute Diarrhoeal Disease,30.13,27.62,74.35,151.0
2009-07-28,Madhya Pradesh,Seoni,Acute Diarrhoeal Disease,30.51,30.03,73.82,14.0
2009-07-28,Odisha,Kalahandi,Acute Diarrhoeal Disease,47.29,30.03,79.62,217.0
2009-07-28,Punjab,Ludhiana,Acute Diarrhoeal Disease,56.97,27.49,82.03,50.0
2009-07-28,Rajasthan,Jaipur,Acute Diarrhoeal Disease,12.48,30.48,60.88,15.0
2009-07-28,Rajasthan,Tonk,Acute Diarrhoeal Disease,11.16,30.83,59.55,15.0
2009-07-28,Uttarakhand,Uttarkashi,Acute Diarrhoeal Disease,95.92,25.02,84.77,11.0
2009-08-01,Uttar Pradesh,Allahabad,Acute Diarrhoeal Disease,37.44,31.56,76.34,51.0
2009-08-02,Madhya Pradesh,Betul,Acute Diarrhoeal Disease,23.59,27.7,70.52,86.0
2009-08-03,Bihar,Munger,Malaria,117.74,28.13,84.0,335.0
2009-08-03,Kerala,Malappuram,Chikungunya,44.41,25.82,80.2,133.0
2009-08-03,Kerala,Mallapuram,Chikungunya,44.41,25.82,80.2,216.0
2009-08-03,Rajasthan,Barmer,Acute Diarrhoeal Disease,9.53,27.45,59.0,30.0
2009-08-03,Tamil Nadu,Salem,Chikungunya,29.45,35.07,71.77,25.0
2009-08-03,Tamil Nadu,Theni,Chikungunya,21.7,42.1,64.9,82.0
2009-08-04,Rajasthan,Pali,Acute Diarrhoeal Disease,4.03,33.09,51.78,73.0
2009-08-04,Telangana,Medak,Acute Diarrhoeal Disease,4.9,35.6,51.93,10.0
2009-08-05,Karnataka,Belgaum,Acute Diarrhoeal Disease,23.05,25.95,70.68,53.0
2009-08-05,Madhya Pradesh,Indore,Acute Diarrhoeal Disease,7.23,28.11,56.54,70.0
2009-08-05,Tamil Nadu,Virudhunagar,Chikungunya,18.22,43.28,61.95,26.0
2009-08-06,Chhattisgarh,Raipur,Acute Diarrhoeal Disease,5.78,32.35,53.8,11.0
2009-08-06,Haryana,Jhajjar,Acute Diarrhoeal Disease,0.87,35.4,47.79,37.0
2009-08-06,Punjab,Moga,Acute Diarrhoeal Disease,10.58,28.08,59.83,20.0
2009-08-06,Rajasthan,Alwar,Acute Diarrhoeal Disease,0.36,32.39,48.17,141.0
2009-08-06,Uttar Pradesh,Ghazipur,Acute Diarrhoeal Disease,13.66,32.07,61.47,13.0
2009-08-08,Tamil Nadu,Karur,Chikungunya,1.17,36.64,47.74,42.0
2009-08-09,Assam,Darrang,Acute Diarrhoeal Disease,173.05,28.06,84.08,400.0
2009-08-09,Karnataka,Koppal,Acute Diarrhoeal Disease,5.75,33.48,53.44,26.0
2009-08-09,Karnataka,Koppal,Acute Diarrhoeal Disease,5.75,33.48,53.44,26.0
2009-08-11,Karnataka,Ballari,Acute Diarrhoeal Disease,3.54,33.46,51.16,26.0
2009-08-12,Karnataka,Haveri,Acute Diarrhoeal Disease,40.84,21.92,80.36,82.0
2009-08-12,Punjab,Roopnagar,Acute Diarrhoeal Disease,17.91,26.5,66.73,94.0
2009-08-12,Tamil Nadu,Virudhunagar,Chikungunya,1.72,44.9,45.83,15.0
2009-08-13,Karnataka,Chikkaballapur,Acute Diarrhoeal Disease,7.83,32.66,55.77,29.0
2009-08-15,Punjab,Gurdaspur,Acute Diarrhoeal Disease,14.42,30.14,62.72,20.0
2009-08-15,Uttar Pradesh,Allahabad,Acute Diarrhoeal Disease,65.19,36.97,80.04,29.0
2009-08-16,Madhya Pradesh,Umaria,Acute Diarrhoeal Disease,87.56,28.11,83.7,12.0
2009-08-16,Punjab,Jalandhar,Acute Diarrhoeal Disease,15.52,28.91,64.04,116.0
2009-08-17,Bihar,Munger,Malaria,159.58,30.17,83.44,850.0
2009-08-17,Telangana,Adilabad,Acute Diarrhoeal Disease,10.8,33.6,58.38,18.0
2009-08-19,Karnataka,Hassan,Acute Diarrhoeal Disease,45.91,31.86,78.75,54.0
2009-08-19,Madhya Pradesh,Panna,Acute Diarrhoeal Disease,65.57,29.15,82.41,15.0
2009-08-20,Madhya Pradesh,Morena,Acute Diarrhoeal Disease,147.96,28.11,84.06,25.0
2009-08-21,Andhra Pradesh,Visakhapatnam,Acute Diarrhoeal Disease,33.73,28.6,75.75,26.0
2009-08-21,Punjab,Hoshiarpur,Acute Diarrhoeal Disease,85.12,25.87,84.32,40.0
2009-08-21,Uttar Pradesh,Ghazipur,Acute Diarrhoeal Disease,74.82,29.95,82.74,23.0
2009-08-21,Uttar Pradesh,Shahjahanpur,Acute Diarrhoeal Disease,174.75,25.81,84.76,12.0
2009-08-22,Odisha,Balasore,Acute Diarrhoeal Disease,46.8,29.95,79.53,93.0
2009-08-24,Uttarakhand,Dehradun,Acute Diarrhoeal Disease,24.75,25.47,71.93,143.0
2009-08-25,Madhya Pradesh,Raisen,Malaria,20.88,27.33,68.75,341.0
2009-08-25,Madhya Pradesh,Sagar,Acute Diarrhoeal Disease,15.34,27.81,64.22,23.0
2009-08-27,Madhya Pradesh,Khargone,Acute Diarrhoeal Disease,115.1,28.86,83.77,113.0
2009-08-27,Tamil Nadu,Tirunelveli,Chikungunya,9.1,39.65,54.93,17.0
2009-08-27,Tamil Nadu,Viluppuram,Acute Diarrhoeal Disease,6.91,33.17,54.71,11.0
2009-08-28,Bihar,Munger,Malaria,64.98,27.26,82.93,453.0
2009-08-28,Karnataka,Chikmagalur,Acute Diarrhoeal Disease,36.17,23.12,78.39,22.0
2009-08-28,Karnataka,Chitradurga,Cholera,56.82,21.08,83.94,8.0
2009-08-28,Madhya Pradesh,Betul,Acute Diarrhoeal Disease,72.92,30.0,82.63,205.0
2009-08-28,Madhya Pradesh,Morena,Acute Diarrhoeal Disease,51.06,33.06,79.46,35.0
2009-08-28,Maharashtra,Nashik,Dengue,44.75,22.67,81.23,39.0
2009-08-28,Odisha,Sundargarh,Malaria,89.83,29.04,83.47,10.0
2009-08-28,Tamil Nadu,Salem,Chikungunya,14.11,36.14,60.65,21.0
2009-08-28,Telangana,Adilabad,Acute Diarrhoeal Disease,128.65,29.93,83.49,25.0
2009-08-28,Uttar Pradesh,Pilibhit,Acute Diarrhoeal Disease,50.7,27.35,81.11,157.0
2009-09-01,Odisha,Bargarh,Acute Diarrhoeal Disease,52.39,28.47,81.07,119.0
2009-09-03,Karnataka,Hassan,Acute Diarrhoeal Disease,46.01,30.03,79.33,24.0
2009-09-03,Madhya Pradesh,Indore,Dengue,251.13,26.55,84.53,78.0
2009-09-03,Odisha,Sambalpur,Acute Diarrhoeal Disease,53.05,27.07,81.59,22.0
2009-09-04,Telangana,Adilabad,Acute Diarrhoeal Disease,80.36,20.56,85.77,12.0
2009-09-05,Himachal Pradesh,Chamba,Acute Diarrhoeal Disease,102.65,25.26,84.77,30.0
2009-09-05,Himachal Pradesh,Chamba,Acute Diarrhoeal Disease,102.65,25.26,84.77,223.0
2009-09-05,Punjab,Fatehgarh Sahib,Acute Diarrhoeal Disease,102.83,26.98,84.26,53.0
2009-09-06,Karnataka,Belgaum,Acute Diarrhoeal Disease,147.96,28.35,83.99,18.0
2009-09-07,Karnataka,Dharwad,Acute Diarrhoeal Disease,125.15,29.19,83.7,32.0
2009-09-08,Madhya Pradesh,Guna,Acute Diarrhoeal Disease,48.87,27.61,80.68,91.0
2009-09-08,Odisha,Bolangir,Malaria,70.41,28.37,82.98,368.0
2009-09-09,Tamil Nadu,Ramanathapuram,Chikungunya,5.0,37.27,56.51,49.0
2009-09-10,Karnataka,Koppal,Acute Diarrhoeal Disease,29.01,24.01,74.85,36.0
2009-09-11,Kerala,Kottayam,Acute Diarrhoeal Disease,130.67,27.46,84.23,18.0
2009-09-11,Telangana,Adilabad,Acute Diarrhoeal Disease,28.33,28.25,73.21,12.0
2009-09-12,Karnataka,Kodagu,Cholera,88.88,25.51,84.51,9.0
2009-09-12,Maharashtra,Nashik,Malaria,24.48,27.64,71.11,34.0
2009-09-12,Uttar Pradesh,Ambedkar Nagar,Acute Diarrhoeal Disease,128.86,27.85,84.11,15.0
2009-09-13,Himachal Pradesh,Shimla,Acute Diarrhoeal Disease,289.78,26.02,84.69,45.0
2009-09-14,Bihar,Munger,Malaria,86.28,29.04,83.4,260.0
2009-09-15,Maharashtra,Nashik,Dengue,34.38,27.91,76.23,57.0
2009-09-16,Haryana,Panipat,Cholera,118.95,28.22,83.98,373.0
2009-09-16,Haryana,Panipat,Cholera,118.95,28.22,83.98,447.0
2009-09-16,Jharkhand,Latehar,Malaria,6.77,26.87,56.45,25.0
2009-09-16,Odisha,Balasore,Acute Diarrhoeal Disease,12.41,28.93,61.28,30.0
2009-09-17,Tamil Nadu,Namakkal,Chikungunya,25.88,35.07,69.75,32.0
2009-09-19,Tamil Nadu,Karur,Chikungunya,53.35,33.5,79.71,26.0
2009-09-20,Chhattisgarh,Korba,Dengue,1.55,28.47,50.58,6.0
2009-09-20,Odisha,Puri,Chikungunya,64.57,28.41,82.55,79.0
2009-09-21,Tamil Nadu,Dindigul,Chikungunya,98.21,32.99,82.41,83.0
2009-09-23,West Bengal,Dakshin Dinajpur,Acute Diarrhoeal Disease,56.67,23.75,83.12,43.0
2009-09-23,West Bengal,South 24 Parganas,Acute Diarrhoeal Disease,74.06,26.62,83.7,4485.0
2009-09-24,Assam,Darrang,Cholera,103.71,13.33,88.36,12.0
2009-09-24,Tamil Nadu,Tiruchirappalli,Chikungunya,57.14,32.53,80.54,8.0
2009-09-25,Odisha,Bargarh,Acute Diarrhoeal Disease,19.58,28.16,67.53,51.0
2009-09-25,Tamil Nadu,Ramanathapuram,Chikungunya,5.0,38.67,56.09,44.0
2009-09-27,Karnataka,Hassan,Acute Diarrhoeal Disease,71.49,25.42,83.93,40.0
2009-09-27,West Bengal,Dakshin Dinajpur,Acute Diarrhoeal Disease,28.28,27.49,73.41,69.0
2009-09-28,Assam,Barpeta,Cholera,59.75,27.84,82.26,640.0
2009-09-28,Assam,Barpeta,Cholera,59.75,27.84,82.26,1010.0
2009-09-28,Assam,Sonitpur,Malaria,60.04,21.6,84.16,578.0
2009-09-28,Karnataka,Chikmagalur,Acute Diarrhoeal Disease,67.98,25.07,83.81,104.0
2009-09-28,Karnataka,Tumkur,Acute Diarrhoeal Disease,35.99,28.2,76.8,25.0
2009-09-28,Maharashtra,Thane,Acute Diarrhoeal Disease,47.93,27.56,80.5,13.0
2009-09-28,Rajasthan,Sikar,Malaria,0.01,43.77,44.37,50.0
2009-09-28,Uttar Pradesh,Jhansi,Acute Diarrhoeal Disease,4.47,34.85,51.71,19.0
2009-09-28,West Bengal,Bankura,Acute Diarrhoeal Disease,44.8,28.17,79.59,36.0
2009-09-28,West Bengal,Bankura,Acute Diarrhoeal Disease,44.8,28.17,79.59,46.0
2009-10-02,Odisha,Nayagarh,Acute Diarrhoeal Disease,169.14,27.95,84.11,30.0
2009-10-02,Rajasthan,Sikar,Acute Diarrhoeal Disease,0.0,43.33,44.5,25.0
2009-10-03,Jharkhand,Dumka,Acute Diarrhoeal Disease,45.9,29.05,79.6,25.0
2009-10-03,Karnataka,Davangere,Acute Diarrhoeal Disease,245.04,24.23,85.23,44.0
2009-10-03,Maharashtra,Akola,Acute Diarrhoeal Disease,30.62,37.06,71.76,38.0
2009-10-04,Karnataka,Chikmagalur,Acute Diarrhoeal Disease,212.13,22.57,85.73,10.0
2009-10-04,Karnataka,Dharwad,Acute Diarrhoeal Disease,224.03,29.26,83.72,22.0
2009-10-05,Karnataka,Haveri,Acute Diarrhoeal Disease,300.0,29.26,83.72,25.0
2009-10-06,Haryana,Ambala,Acute Diarrhoeal Disease,11.66,29.3,60.48,21.0
2009-10-06,Karnataka,Belgaum,Acute Diarrhoeal Disease,187.06,29.26,83.72,16.0
2009-10-08,Karnataka,Haveri,Acute Diarrhoeal Disease,91.75,22.62,85.43,21.0
2009-10-09,Assam,Nalbari,Acute Diarrhoeal Disease,197.52,29.26,83.72,14.0
2009-10-09,Assam,Sivasagar,Acute Diarrhoeal Disease,64.89,24.59,83.72,10.0
2009-10-09,Himachal Pradesh,Kangra,Acute Diarrhoeal Disease,19.43,22.87,69.01,101.0
2009-10-10,Rajasthan,Banwara,Dengue,17.52,32.16,64.72,4.0
2009-10-11,Karnataka,Belgaum,Acute Diarrhoeal Disease,13.56,26.53,63.04,16.0
2009-10-11,Rajasthan,Sikar,Acute Diarrhoeal Disease,0.56,39.14,46.35,26.0
2009-10-11,West Bengal,Dakshin Dinajpur,Acute Diarrhoeal Disease,167.59,26.24,84.63,51.0
2009-10-12,Assam,Golaghat,Cholera,92.28,26.98,84.13,57.0
2009-10-12,Assam,Kamrup,Acute Diarrhoeal Disease,94.34,26.16,84.41,31.0
2009-10-13,Haryana,Kurukshetra,Cholera,0.28,29.71,48.88,41.0
2009-10-13,Odisha,Malkangiri,Malaria,7.8,27.05,57.43,123.0
2009-10-13,West Bengal,Dakshin Dinajpur,Acute Diarrhoeal Disease,68.02,26.99,83.24,32.0
2009-10-14,Uttar Pradesh,Ambedkar Nagar,Acute Diarrhoeal Disease,2.88,28.71,51.9,29.0
2009-10-17,Telangana,Nizamabad,Acute Diarrhoeal Disease,1.81,32.25,49.72,245.0
2009-10-18,Himachal Pradesh,Kangra,Acute Diarrhoeal Disease,12.84,24.24,63.08,115.0
2009-10-18,Tamil Nadu,Trichy,Chikungunya,11.31,35.52,58.28,38.0
2009-10-20,Uttar Pradesh,Lucknow,Acute Diarrhoeal Disease,0.0,30.44,48.37,47.0
2009-10-21,West Bengal,Howrah,Chikungunya,5.02,30.01,53.72,163.0
2009-10-21,West Bengal,Howrah,Chikungunya,5.02,30.01,53.72,131.0
2009-10-21,West Bengal,Howrah,Chikungunya,5.02,30.01,53.72,243.0
2009-10-21,West Bengal,Howrah,Chikungunya,5.02,30.01,53.72,266.0
2009-10-22,Haryana,Ambala,Acute Diarrhoeal Disease,0.01,29.41,48.68,24.0
2009-10-22,Madhya Pradesh,Indore,Dengue,0.0,39.2,45.74,73.0
2009-10-22,Puducherry,Puducherry,Dengue,0.78,34.86,47.86,12.0
2009-10-23,Haryana,Kaithal,Acute Diarrhoeal Disease,0.0,29.41,48.68,34.0
2009-10-23,Karnataka,Bagalkot,Acute Diarrhoeal Disease,0.7,36.75,47.21,210.0
2009-10-24,Odisha,Bolangir,Acute Diarrhoeal Disease,0.01,31.25,48.13,28.0
2009-10-26,Madhya Pradesh,Indore,Dengue,0.01,41.01,45.2,11.0
2009-10-28,Chandigarh,Chandigarh,Dengue,0.0,28.9,48.84,8.0
2009-10-28,Odisha,Puri,Acute Diarrhoeal Disease,0.01,28.47,48.97,11.0
2009-10-28,Tamil Nadu,Perambalur,Chikungunya,1.34,34.11,48.68,24.0
2009-11-02,Rajasthan,Barmer,Acute Diarrhoeal Disease,0.0,44.28,44.22,14.0
2009-11-05,Madhya Pradesh,Indore,Dengue,0.01,39.11,45.77,36.0
2009-11-05,Tamil Nadu,Karur,Chikungunya,17.96,31.37,65.32,17.0
2009-11-05,Tamil Nadu,Villupuram,Malaria,48.07,27.8,80.46,3.0
2009-11-06,Karnataka,Chamarajnagar,Cholera,12.68,29.93,61.23,7.0
2009-11-06,Odisha,Bargarh,Acute Diarrhoeal Disease,1.14,28.25,50.22,118.0
2009-11-06,Odisha,Bargarh,Acute Diarrhoeal Disease,1.14,28.25,50.22,118.0
2009-11-06,West Bengal,Malda,Chikungunya,0.01,28.46,48.97,50.0
